address,city,zip,bedrooms,bathrooms,floor_size,lot_size,year_built,sale_date,sale_price
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"5,732 sqft",,Zestimate®,749950.0
None,None,None,None,None,None,None,,(10/2),750000.0
None,None,None,None,None,None,"9,722 sqft",,Zestimate®,788000.0
 Burbank StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,4,4,1716,None,,"$4,200  /mo",
 Burbank StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,4,4,1716,None,,"$3,750  /mo",
None,None,None,None,None,None,None,,Zestimate®,739000.0
None,None,None,None,None,None,0.26 acres,,(10/3),799999.0
None,None,None,None,None,None,"2,622 sqft",,Zestimate®,855000.0
None,None,None,None,None,None,None,,None,
 622 Staley Ave, Hayward,94541,2,2.5,1227,None,,"$2,750  /mo",
None,None,None,None,None,None,"5,005 sqft",,None,699000.0
None,None,None,None,None,None,3.11 acres,,Zestimate®,499000.0
 821 Blossom Way APT 6, Hayward,94541,2,1,700,None,,"$1,695  /mo",
None,None,None,None,None,None,None,,None,
 1047 Evans Ct, Hayward,94544,2,2.5,1100,958 sqft,Built in 1987,"$2,800  /mo",
 22823 1st St, Hayward,94541,4,2,1247,None,,"$3,200  /mo",
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,871 sqft,,None,570000.0
None,None,None,None,None,None,None,,None,
 28604 Anchorage Ln, Hayward,94545,4,3,1800,"2,897 sqft",Built in 2011,"$3,850  /mo",
 3 bed, 2.5 bath,sqft,3,2.5,2070,None,,"$2,850  /mo",
None,None,None,None,None,None,None,,None,
 30112 Vanderbilt St, Hayward,94544,2,1,1050,None,,"$2,650  /mo",
None,None,None,None,None,None,"10,166 sqft",,(9/29),989000.0
 28830 Logan Way, Hayward,94544,3,2.5,1373,None,Built in 1988,"$3,050  /mo",
None,None,None,None,None,None,"6,825 sqft",,Zestimate®,1249000.0
None,None,None,None,None,None,"7,409 sqft",,(9/27),688888.0
None,None,None,None,None,None,"6,534 sqft",,Zestimate®,699950.0
 21856 Thelma St APT 2, Hayward,94541,2,1,800,None,,"$1,995  /mo",
None,None,None,None,None,None,0.92 acres,,None,2700000.0
None,None,None,None,None,None,"6,224 sqft",,Zestimate®,649000.0
None,None,None,None,None,None,"9,456 sqft",,Zestimate®,899900.0
 24955 Cypress Ave APT 2, Hayward,94544,1,1,550,None,,"$1,650  /mo",
None,None,None,None,None,None,0.38 acres,,None,499888.0
 347 Rivercrest Ln, Hayward,94544,3,2,1900,"5,005 sqft",Built in 1955,"$3,200  /mo",
None,None,None,None,None,None,None,,None,725000.0
None,None,None,None,None,None,None,,Zestimate®,1260880.0
None,None,None,None,None,None,"5,662 sqft",,Foreclosure Estimate,
None,None,None,None,None,None,11.46 acres,,None,1000000.0
None,None,None,None,None,None,"1,472 sqft",,Zestimate®,788000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"1,694 sqft",,Zestimate®,799888.0
 512 Simon St, Hayward,94541,2,2,1017,None,Built in 1940,"$2,800  /mo",
 2491 Creekside Ct, Hayward,94542,2,2,936,None,Built in 1991,"$2,195  /mo",
 1513 171st Ave, Hayward,94541,1,1,600,None,,"$1,800  /mo",
None,None,None,None,None,None,0.33 acres,,None,375000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"5,131 sqft",,Zestimate®,649950.0
 Huntwood AveIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,3,2.5,1705,None,,"$3,400  /mo",
 434 Ranker Pl APT C, Hayward,94544,3,1,857,None,Built in 1984,"$2,290  /mo",
None,None,None,None,None,None,"7,501 sqft",,Zestimate®,1299000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
 32275 Mission Blvd, Hayward,94544,3,2,927,None,Built in 1951,"$2,800  /mo",
 27501 Huntwood Ave # E 2, Hayward,94544,3,2.5,1304,None,,"$2,700  /mo",
None,None,None,None,None,None,None,,Zestimate®,438000.0
None,None,None,None,None,None,None,,Zestimate®,449000.0
None,None,None,None,None,None,None,,None,180000.0
 Fallbrook DrIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,4,4,12248,None,,"$3,695  /mo",
None,None,None,None,None,None,"4,791 sqft",,(9/28),550000.0
 Kay AveIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,3,2,1164,None,,"$3,450  /mo",
 19353 Meekland Ave APT 2, Hayward,94541,2,1,--,None,,"$2,100  /mo",
 23910 2nd St APT 28, Hayward,94541,2,2,1075,None,,"$2,320  /mo",
 26580 Chisholm Ct APT 04, Hayward,94544,3,1.5,1100,None,,"$2,295  /mo",
None,None,None,None,None,None,"6,420 sqft",,Zestimate®,599000.0
 489 Meek Ave, Hayward,94541,3,1,1200,None,,"$2,395  /mo",
None,None,None,None,None,None,"5,305 sqft",,(9/27),625000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,None,
 25468 Belmont Ave # 1, Hayward,94542,2,2,1100,None,,"$2,050  /mo",
